Toma,Actor 1,Actor 2,Actor 3,Actor 4,Actor 5,Actor 6,Actor 7,Actor 8,Actor 9,Actor 10
1,1,0,0,1,1,1,1,0,0,0
2,1,1,0,0,0,0,1,0,0,1
3,1,1,0,0,1,0,0,1,0,0
4,1,1,1,1,1,1,1,0,0,0
5,1,1,0,1,1,0,1,0,0,0
6,1,1,0,1,1,0,1,0,0,0
7,1,1,1,1,1,0,1,1,1,0
8,1,1,0,0,0,1,1,0,0,0
9,1,1,0,1,0,0,0,1,0,0
10,1,1,0,1,1,0,0,0,0,0
11,1,1,1,1,0,1,1,0,0,1
12,0,1,1,1,1,1,1,0,0,0
13,1,1,0,0,1,0,0,0,0,1
14,1,1,1,0,1,0,1,0,0,1
15,1,1,0,0,1,1,1,0,0,0
16,1,1,1,0,1,1,0,0,0,1
17,1,1,1,1,0,1,0,1,1,0
18,0,0,1,1,1,1,0,0,0,0
19,1,1,0,0,1,1,1,1,0,0
20,0,1,1,1,1,1,1,0,0,1
21,1,1,1,0,1,1,1,0,0,1
22,1,1,1,1,1,0,1,0,0,0
23,1,1,1,1,0,0,1,0,0,0
24,1,1,1,0,0,1,1,0,0,1
25,1,1,0,0,0,0,1,0,0,0
26,0,1,1,0,1,0,0,0,0,0
27,1,1,0,1,0,0,0,0,0,0
28,0,1,1,1,1,1,0,0,1,0
29,1,1,1,1,0,1,0,0,1,0
30,1,1,0,1,0,0,1,0,1,0
